Symbol,Name,Industry,IndustryCode
ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
STNE,StoneCo Ltd Class A,핀테크,573010
CVAC,CureVac NV,생명과학 및 메디컬 리서치,562020
COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020
CERN,Cerner Corp,헬스케어 장비 및 용품,561010
MXIM,Maxim Integrated Products Inc,반도체 및 반도체 장비,571010
VTRS,Viatris Inc,제약,562010
TTWO,Take-Two Interactive Software Inc,레저 상품,532050
EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
ETSY,ETSY Inc,다양한 소매업,534020
BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
XP,Xp Inc Class A,투자은행 및 서비스,551020
FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
Z,Zillow Group Inc Class C,부동산 운영 관리,601010
ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
FITB,Fifth Third Bancorp,은행,551010
DKNG,Draftkings Inc Class A,호텔 및 엔터테인먼트,533010
HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
TER,Teradyne Inc,반도체 및 반도체 장비,571010
NTRS,Northern Trust Corp,투자은행 및 서비스,551020
DISH,DISH Network Corp Class A,미디어 및 출판,533020
CDW,CDW Corp,소프트웨어 및 IT서비스,572010
SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
SIVB,SVB Financial Group,은행,551010
QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
STX,Seagate Technology PLC,"컴퓨터, 전화 및 가전제품",571060
ENPH,Enphase Energy Inc,재생에너지,502010
CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
PODD,Insulet Corp,헬스케어 장비 및 용품,561010
HZNP,Horizon Therapeutics PLC,제약,562010
TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
IQ,IQIYI Inc ADR,소프트웨어 및 IT서비스,572010
ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
TSCO,Tractor Supply Co,전문품 상점,534030
WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
ULTA,Ulta Beauty Inc,전문품 상점,534030
LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
MASI,Masimo Corp,헬스케어 장비 및 용품,561010
CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
BPY,Brookfield Property Partners LP Unit,부동산 운영 관리,601010
UAL,United Airlines Holdings Inc,운송업,524060
JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
BMRN,Biomarin Pharmaceutical Inc,제약,562010
SEDG,Solaredge Technologies Inc,재생에너지,502010
ACGL,Arch Capital Group Ltd,보험,553010
MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
PFG,Principal Financial Group Inc,보험,553010
NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
POOL,Pool Corp,레저 상품,532050
HBAN,Huntington Bancshares Inc,은행,551010
PTC,PTC Inc,소프트웨어 및 IT서비스,572010
CINF,Cincinnati Financial Corp,보험,553010
CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
LNT,Alliant Energy Corp,전기 유틸리티,591010
IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
ENTG,Entegris Inc,반도체 및 반도체 장비,571010
ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
HAS,Hasbro Inc,레저 상품,532050
ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
PLUG,Plug Power Inc,재생에너지,502010
XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
RUN,Sunrun Inc,재생에너지,502010
LKQ,LKQ Corp,자동차 및 자동차 부품,531010
IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
OLED,Universal Display Corp,반도체 및 반도체 장비,571010
CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
AAL,American Airlines Group Inc,운송업,524060
APPN,Appian Corp Class A,소프트웨어 및 IT서비스,572010
ERIE,Erie Indemnity Co Class A,보험,553010
FFIV,F5 Networks Inc,소프트웨어 및 IT서비스,572010
FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
CG,Carlyle Group Inc,투자은행 및 서비스,551020
HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
CREE,Cree Inc,반도체 및 반도체 장비,571010
PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
CGC,Canopy Growth Corp,제약,562010
PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
GLIBA,Gci Liberty Inc Class A,통신 서비스,574010
BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
DADA,Dada Nexus Ltd ADR,소프트웨어 및 IT서비스,572010
KC,Kingsoft Cloud Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
ZLAB,Zai Lab Ltd ADR,제약,562010
FOXA,Fox Corp Class A,미디어 및 출판,533020
RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
WB,Weibo Corp ADR,미디어 및 출판,533020
FIVE,Five Below Inc,다양한 소매업,534020
FSLR,First Solar Inc,재생에너지,502010
AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
LBTYK,Liberty Global PLC Class C,미디어 및 출판,533020
MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
RARE,Ultragenyx Pharmaceutical Inc,생명과학 및 메디컬 리서치,562020
DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
NWL,Newell Brands Inc,가정용품,532040
DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
DNKN,Dunkin' Brands Group Inc,호텔 및 엔터테인먼트,533010
FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
MORN,Morningstar Inc,전문 및 상업 서비스,522030
NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
HDS,HD Supply Holdings Inc,다양한 산업재 도매업,522020
BYND,Beyond Meat Inc,식품 및 담배,541020
NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
UHAL,Amerco,화물 및 물류 서비스,524050
AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
FATE,Fate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
NTRA,Natera Inc,헬스케어 장비 및 용품,561010
ACAD,ACADIA Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
STLD,Steel Dynamics Inc,메탈&마이닝,512010
BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
QDEL,Quidel Corp,헬스케어 장비 및 용품,561010
OZON,Ozon Holdings PLC ADR,전자 장비 및 부품,571040
DISCK,Discovery Inc Series C,미디어 및 출판,533020
ZG,Zillow Group Inc Class A,부동산 운영 관리,601010
FLEX,Flex Ltd,전자 장비 및 부품,571040
MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
SEIC,SEI Investments Co,투자은행 및 서비스,551020
JAZZ,Jazz Pharmaceuticals PLC,제약,562010
GNTX,Gentex Corp,자동차 및 자동차 부품,531010
REG,Regency Centers Corp,주택 및 상업용 리츠,601020
CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
AAXN,Axon Enterprise Inc,우주항공 및 국방,521010
CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
FANG,Diamondback Energy Inc,오일 및 가스,501020
IPHI,Inphi Corp,반도체 및 반도체 장비,571010
GLPG,Galapagos NV ADR,생명과학 및 메디컬 리서치,562020
LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
MIDD,Middleby Corp,가정용품,532040
ADPT,Adaptive Biotechnologies Corp,생명과학 및 메디컬 리서치,562020
NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
FOX,Fox Corp Class B,미디어 및 출판,533020
XLRN,Acceleron Pharma Inc,생명과학 및 메디컬 리서치,562020
PRAH,PRA Health Sciences Inc,생명과학 및 메디컬 리서치,562020
WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
CBSH,Commerce Bancshares Inc,은행,551010
TWST,Twist Bioscience Corp,제약,562010
NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
IOVA,Iovance Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
RGLD,Royal Gold Inc,메탈&마이닝,512010
BL,Blackline Inc,소프트웨어 및 IT서비스,572010
NWSA,News Corp Class A,미디어 및 출판,533020
IIVI,II-VI Inc,전자 장비 및 부품,571040
NKLA,Nikola Corporation,자동차 및 자동차 부품,531010
ARCC,Ares Capital Corp,다양한 금융서비스,555010
LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
SHC,Sotera Health Co,헬스케어 업체 및 서비스,561020
BBIO,BridgeBio Pharma Inc,제약,562010
ZION,Zions Bancorporation NA,은행,551010
EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
SBNY,Signature Bank,은행,551010
RP,RealPage Inc,소프트웨어 및 IT서비스,572010
YY,JOYY Inc ADR,소프트웨어 및 IT서비스,572010
EWBC,East West Bancorp Inc,은행,551010
MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
CD,Chindata Group Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
PFPT,Proofpoint Inc,소프트웨어 및 IT서비스,572010
LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
CASY,Caseys General Stores Inc,식품 및 약품소매,543010
IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
KOD,Kodiak Sciences Inc,생명과학 및 메디컬 리서치,562020
PAAS,Pan American Silver Corp,메탈&마이닝,512010
BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,562020
LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
SRCL,Stericycle Inc,전문 및 상업 서비스,522030
REYN,Reynolds Consumer Products Inc,용기 및 포장,513020
TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
APA,Apache Corp,오일 및 가스,501020
FROG,Jfrog Ltd,소프트웨어 및 IT서비스,572010
SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
ALLK,Allakos Inc,생명과학 및 메디컬 리서치,562020
CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
FUTU,Futu Holdings Ltd ADR,핀테크,573010
RDFN,Redfin Corp,부동산 운영 관리,601010
ANGI,ANGI Homeservices Inc Class A,소프트웨어 및 IT서비스,572010
EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
APPF,Appfolio Inc Class A,소프트웨어 및 IT서비스,572010
CACC,Credit Acceptance Corp,은행,551010
BLI,Berkeley Lights Inc,헬스케어 장비 및 용품,561010
TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
FOLD,Amicus Therapeutics Inc,생명과학 및 메디컬 리서치,562020
IRTC,iRhythm Technologies Inc,헬스케어 장비 및 용품,561010
FSV,FirstService Corp,부동산 운영 관리,601010
TPTX,Turning Point Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
PBCT,People's United Financial Inc,은행,551010
COLM,Columbia Sportswear Co,섬유 및 의류,532020
NEO,Neogenomics Inc,헬스케어 업체 및 서비스,561020
BLDP,Ballard Power Systems Inc,재생에너지,502010
DOOO,BRP Inc,레저 상품,532050
HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
FLIR,FLIR Systems Inc,커뮤니케이션 및 네트워킹,571020
MAT,Mattel Inc,레저 상품,532050
TGTX,TG Therapeutics Inc,생명과학 및 메디컬 리서치,562020
HELE,Helen of Troy Ltd,가정용품,532040
TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
TCF,TCF Financial Corp,은행,551010
KNSL,Kinsale Capital Group Inc,보험,553010
BRKS,Brooks Automation Inc,반도체 및 반도체 장비,571010
FRPT,Freshpet Inc,식품 및 담배,541020
LSTR,Landstar System Inc,화물 및 물류 서비스,524050
FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
SSB,South State Corp,은행,551010
ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
CNXC,Concentrix Corp,전문 및 상업 서비스,522030
DCT,Duck Creek Technologies Inc,소프트웨어 및 IT서비스,572010
ONEM,1Life Healthcare Inc,헬스케어 업체 및 서비스,561020
OLLI,Ollie's Bargain Outlet Holdings Inc,다양한 소매업,534020
AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
PPC,Pilgrims Pride Corp,식품 및 담배,541020
FFIN,First Financial Bankshares Inc,은행,551010
HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
WEN,Wendys Co,호텔 및 엔터테인먼트,533010
IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
TFSL,TFS Financial Corp,은행,551010
BOKF,BOK Financial Corp,은행,551010
OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
JOBS,51job Inc ADR,전문 및 상업 서비스,522030
GRFS,Grifols SA ADR,제약,562010
JBLU,JetBlue Airways Corp,운송업,524060
WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
SEER,Seer  Inc. Class A,사무기기,571050
NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
SAIA,Saia Inc,화물 및 물류 서비스,524050
BIGC,Bigcommerce Holdings  Inc. Series 1,소프트웨어 및 IT서비스,572010
DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
LANC,Lancaster Colony Corp,식품 및 담배,541020
SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,572010
CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
IMVT,Immunovant Inc,생명과학 및 메디컬 리서치,562020
EVBG,Everbridge Inc,소프트웨어 및 IT서비스,572010
SDC,SmileDirectClub Inc Class A,헬스케어 장비 및 용품,561010
DISCA,Discovery Inc Series A,미디어 및 출판,533020
CBPO,China Biologic Products Holdings Inc,생명과학 및 메디컬 리서치,562020
ARRY,Array Technologies Inc,재생에너지,502010
RLAY,Relay Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ACIW,ACI Worldwide Inc,소프트웨어 및 IT서비스,572010
PNFP,Pinnacle Financial Partners Inc,은행,551010
IRDM,Iridium Communications Inc,통신 서비스,574010
SMTC,Semtech Corp,반도체 및 반도체 장비,571010
PINC,Premier Inc Class A,헬스케어 업체 및 서비스,561020
VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
JCOM,j2 Global Inc,통신 서비스,574010
BPOP,Popular Inc,은행,551010
RETA,Reata Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
MRCY,Mercury Systems Inc,우주항공 및 국방,521010
EXPO,Exponent Inc,전문 및 상업 서비스,522030
ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
VRM,Vroom Inc,소프트웨어 및 IT서비스,572010
ESGR,Enstar Group Ltd,보험,553010
SLM,SLM Corp,은행,551010
GOCO,Gohealth Inc Class A,보험,553010
LBTYA,Liberty Global PLC Class A,미디어 및 출판,533020
PTCT,PTC Therapeutics Inc,생명과학 및 메디컬 리서치,562020
POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
FTDR,Frontdoor Inc,"개인, 가정 용품 및 서비스",542010
EXPI,eXp World Holdings Inc,부동산 운영 관리,601010
QRTEA,Qurate Retail Inc Series A,다양한 소매업,534020
ABCM,Abcam PLC ADR,제약,562010
LOPE,Grand Canyon Education Inc,교육서비스,631010
LPRO,Open Lending Corp Class A,전문 및 상업 서비스,522030
API,Agora Inc ADR,소프트웨어 및 IT서비스,572010
CCMP,CMC Materials Inc,반도체 및 반도체 장비,571010
NEOG,Neogen Corp,헬스케어 장비 및 용품,561010
CROX,Crocs Inc,섬유 및 의류,532020
LSXMA,Liberty Media Corp Series A,미디어 및 출판,533020
ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
GBCI,Glacier Bancorp Inc,은행,551010
NOVT,Novanta Inc,전자 장비 및 부품,571040
LBRDA,Liberty Broadband Corp Series A,미디어 및 출판,533020
BLDR,Builders FirstSource Inc,주택건설,532030
UPWK,Upwork Inc,전문 및 상업 서비스,522030
